main_sku,master_sku,name,тип,barcode,barcodes,является_основным,основной_sku,дубли,компоненты_count,компоненты,входит_в_комплекты
148040136_359684344,148040136,Dr. Althea крем PDRN REJU 5000 Cream Восстанавливающий Крем для Лица с ПДРН 20g для лица 20 г,Товар,,,да,,,0,,
120055904_398669369,120055904,Tocobo стик Cica Cooling Sun Stick SPF50 для лица 18 г,Товар,8809835060454,8809835060454,да,,,0,,
101233868_15142052,101233868,A'pieu крем Pure Block Water Proof Sun SPF50 для лица 50 мл,Товар,,,да,,,0,,
118886597_966814953,118886597,ANGIOPHARM крем Azelaine Soft для лица 7 мл,Товар,,,да,,,0,,
104228726_15142052,104228726,Skin1004 тонер Hyalu-cica brightening Toner 30 мл,Товар,,,да,,,0,,
100675489_904174,100675489,Holika Holika Petit BB крем Moisturizing 30 мл,Товар,8806334355128,8806334355128,да,,,0,,
101273150_15142052,101273150,Gabrini Derma 24h matte SPF15 тональный крем 101 40 мл,Товар,,,да,,,0,,
110551230_197594031,110551230,Jeans набор кистей для макияжа 308589 15 шт,Товар,,,да,,"108941121_641602476,105617466_459200,104790655_903521,109466452_782353860",0,,
107970154_176123041,107970154,Influence Skinnovation Matte тональный крем 04 темно-бежевый 25 мл,Товар,4602006309772,4602006309772,да,,,0,,
103554202_946744352,103554202,LUXVISAGE Skin Evolution Soft Matte тональный крем 20 Beige 35 мл,Товар,4811329034821,4811329034821,да,,,0,,
116707433_811739442,116707433,ANGIOPHARM пилинг Weekend Peeling pH 3.0-3.5 15 мл,Товар,4603784188023,4603784188023,да,,,0,,
102689734_146143413,102689734,Makeup Revolution тени прессованные Reloaded Iconic 3.0,Товар,,,да,,,0,,
135318363_488032830,135318363,"RoRoBell крем Quince Sun Cream SPF 50+ PA++++ для лица, для области вокруг глаз, для зоны декольте 50 мл",Товар,,,да,,,0,,
102095661_15142052,102095661,MISSHA Velvet Finish SPF50 кушон 21 15 г,Товар,,,да,,,0,,
101571403_15142052,101571403,Farmstay тонер Avocado Premium Pore 350 мл,Товар,,,да,,,0,,
21900487_471669,21900487,Dr. Jart Dermaclear Micro пенка 120 мл,Товар,8809933611633,8809933611633,да,,,0,,
112313033_330131607,112313033,LUXVISAGE ULTRA HD soft focus 12H консилер 10 fair,Товар,4811329040242,4811329040242,да,,,0,,
